model,method,mode,compression,state,flops,params,pytorch_latency,pytorch_ram,pytorch_accuracy,onnx_accuracy,onnx_latency,onnx_ram
resnet18,builtin,l1_unstructured,0.1,baseline,,,16.25,385.62,,100.0,15.07,3.47
resnet18,builtin,l1_unstructured,0.1,pruned,,,14.57,530.36,100.0,100.0,15.53,3.47
resnet18,builtin,l1_unstructured,0.3,baseline,,,21.32,391.08,,100.0,20.78,3.47
resnet18,builtin,l1_unstructured,0.3,pruned,,,22.93,426.7,100.0,100.0,14.82,4.61
resnet18,builtin,l1_unstructured,0.5,baseline,,,13.45,432.72,,100.0,15.01,3.52
resnet18,builtin,l1_unstructured,0.5,pruned,,,14.17,542.03,100.0,100.0,14.55,3.48
resnet18,builtin,l1_unstructured,0.7,baseline,,,13.95,434.05,,100.0,14.39,3.47
resnet18,builtin,l1_unstructured,0.7,pruned,,,13.69,545.94,80.0,80.0,14.51,3.5
resnet18,builtin,l1_unstructured,0.9,baseline,,,18.58,392.64,,100.0,19.74,3.48
resnet18,builtin,l1_unstructured,0.9,pruned,,,13.46,499.48,0.0,0.0,33.71,1.91
resnet18,builtin,ln_structured,0.1,baseline,,,14.16,456.77,,100.0,17.03,3.48
resnet18,builtin,ln_structured,0.1,pruned,,,14.32,452.39,10.0,10.0,22.25,5.23
resnet18,builtin,ln_structured,0.3,baseline,,,16.23,443.05,,100.0,18.76,3.47
resnet18,builtin,ln_structured,0.3,pruned,,,13.46,489.16,0.0,0.0,14.86,3.48
resnet18,builtin,ln_structured,0.5,baseline,,,14.05,439.08,,100.0,30.89,4.02
resnet18,builtin,ln_structured,0.5,pruned,,,13.1,456.3,0.0,0.0,21.82,3.48
resnet18,builtin,ln_structured,0.7,baseline,,,13.49,449.56,,100.0,15.25,7.0
resnet18,builtin,ln_structured,0.7,pruned,,,13.26,425.52,0.0,0.0,26.38,3.56
resnet18,builtin,ln_structured,0.9,baseline,,,13.82,372.77,,100.0,17.39,3.5
resnet18,builtin,ln_structured,0.9,pruned,,,13.27,494.22,0.0,0.0,14.61,5.2
resnet18,builtin,random_structured,0.1,baseline,,,14.0,439.67,,100.0,14.41,3.47
resnet18,builtin,random_structured,0.1,pruned,,,19.38,507.27,0.0,0.0,14.45,4.62
resnet18,builtin,random_structured,0.3,baseline,,,13.84,443.55,,100.0,14.43,4.62
resnet18,builtin,random_structured,0.3,pruned,,,13.78,484.41,0.0,0.0,19.54,3.47
resnet18,builtin,random_structured,0.5,baseline,,,18.73,471.78,,100.0,14.45,3.47
resnet18,builtin,random_structured,0.5,pruned,,,19.21,536.05,0.0,0.0,14.46,3.47
resnet18,builtin,random_structured,0.7,baseline,,,16.78,487.84,,100.0,14.6,3.47
resnet18,builtin,random_structured,0.7,pruned,,,13.45,482.89,0.0,0.0,14.39,3.5
resnet18,builtin,random_structured,0.9,baseline,,,19.12,453.19,,100.0,14.61,3.47
resnet18,builtin,random_structured,0.9,pruned,,,17.23,403.22,0.0,0.0,14.49,3.48
mobilenet_v2,builtin,l1_unstructured,0.1,baseline,,,13.65,472.14,,100.0,9.37,1.94
mobilenet_v2,builtin,l1_unstructured,0.1,pruned,,,12.33,471.53,,90.0,9.52,1.97
mobilenet_v2,builtin,l1_unstructured,0.3,baseline,,,17.9,475.75,,100.0,9.66,2.11
mobilenet_v2,builtin,l1_unstructured,0.3,pruned,,,14.78,465.48,,70.0,9.31,1.94
mobilenet_v2,builtin,l1_unstructured,0.5,baseline,,,16.17,458.58,,100.0,9.36,2.09
mobilenet_v2,builtin,l1_unstructured,0.5,pruned,,,14.07,405.45,,0.0,9.48,1.97
mobilenet_v2,builtin,l1_unstructured,0.7,baseline,,,15.9,449.83,,100.0,9.58,2.27
mobilenet_v2,builtin,l1_unstructured,0.7,pruned,,,14.65,466.22,,0.0,9.37,1.97
mobilenet_v2,builtin,l1_unstructured,0.9,baseline,,,13.53,448.75,,100.0,9.57,2.61
mobilenet_v2,builtin,l1_unstructured,0.9,pruned,,,13.01,481.05,,0.0,9.37,1.97
mobilenet_v2,builtin,ln_structured,0.1,baseline,,,15.24,468.31,,100.0,9.35,1.95
mobilenet_v2,builtin,ln_structured,0.1,pruned,,,12.96,453.97,,0.0,9.29,1.94
mobilenet_v2,builtin,ln_structured,0.3,baseline,,,16.38,408.5,,100.0,12.22,2.03
mobilenet_v2,builtin,ln_structured,0.3,pruned,,,26.29,387.97,,0.0,17.2,1.95
mobilenet_v2,builtin,ln_structured,0.5,baseline,,,25.82,445.11,,100.0,18.58,2.05
mobilenet_v2,builtin,ln_structured,0.5,pruned,,,23.37,438.8,,0.0,21.98,1.98
mobilenet_v2,builtin,ln_structured,0.7,baseline,,,25.99,455.28,,100.0,14.36,2.34
mobilenet_v2,builtin,ln_structured,0.7,pruned,,,24.7,381.22,,0.0,17.78,2.0
mobilenet_v2,builtin,ln_structured,0.9,baseline,,,28.94,374.05,,100.0,16.55,1.98
mobilenet_v2,builtin,ln_structured,0.9,pruned,,,26.62,416.02,,0.0,15.49,1.95
mobilenet_v2,builtin,random_structured,0.1,baseline,,,26.36,412.64,,100.0,18.3,2.55
mobilenet_v2,builtin,random_structured,0.1,pruned,,,28.77,423.78,,0.0,9.6,2.61
mobilenet_v2,builtin,random_structured,0.3,baseline,,,17.66,445.09,,100.0,9.51,1.95
mobilenet_v2,builtin,random_structured,0.3,pruned,,,13.69,440.16,,100.0,9.36,1.95
mobilenet_v2,builtin,random_structured,0.5,baseline,,,14.86,440.42,,100.0,9.51,1.97
mobilenet_v2,builtin,random_structured,0.5,pruned,,,16.03,466.62,,0.0,11.79,1.97
mobilenet_v2,builtin,random_structured,0.7,baseline,,,14.89,432.5,,100.0,9.37,1.98
mobilenet_v2,builtin,random_structured,0.7,pruned,,,13.93,445.47,,0.0,9.36,1.97
mobilenet_v2,builtin,random_structured,0.9,baseline,,,15.0,451.81,,100.0,9.42,2.12
mobilenet_v2,builtin,random_structured,0.9,pruned,,,15.5,466.23,,0.0,9.42,1.95
